Var1,Freq,year,cum2019,ymd
2019-01-01,540,2019,540,2019-01-01
2019-01-02,610,2019,1150,2019-01-02
2019-01-03,666,2019,1816,2019-01-03
2019-01-04,614,2019,2430,2019-01-04
2019-01-05,498,2019,2928,2019-01-05
2019-01-06,503,2019,3431,2019-01-06
2019-01-07,681,2019,4112,2019-01-07
2019-01-08,679,2019,4791,2019-01-08
2019-01-09,635,2019,5426,2019-01-09
2019-01-10,635,2019,6061,2019-01-10
2019-01-11,589,2019,6650,2019-01-11
2019-01-12,515,2019,7165,2019-01-12
2019-01-13,602,2019,7767,2019-01-13
2019-01-14,573,2019,8340,2019-01-14
2019-01-15,594,2019,8934,2019-01-15
2019-01-16,553,2019,9487,2019-01-16
2019-01-17,652,2019,10139,2019-01-17
2019-01-18,596,2019,10735,2019-01-18
2019-01-19,564,2019,11299,2019-01-19
2019-01-20,513,2019,11812,2019-01-20
2019-01-21,595,2019,12407,2019-01-21
2019-01-22,648,2019,13055,2019-01-22
2019-01-23,663,2019,13718,2019-01-23
2019-01-24,647,2019,14365,2019-01-24
2019-01-25,613,2019,14978,2019-01-25
2019-01-26,619,2019,15597,2019-01-26
2019-01-27,573,2019,16170,2019-01-27
2019-01-28,645,2019,16815,2019-01-28
2019-01-29,704,2019,17519,2019-01-29
2019-01-30,612,2019,18131,2019-01-30
2019-01-31,647,2019,18778,2019-01-31
2019-02-01,600,2019,19378,2019-02-01
2019-02-02,467,2019,19845,2019-02-02
2019-02-03,508,2019,20353,2019-02-03
2019-02-04,649,2019,21002,2019-02-04
2019-02-05,584,2019,21586,2019-02-05
2019-02-06,609,2019,22195,2019-02-06
2019-02-07,601,2019,22796,2019-02-07
2019-02-08,568,2019,23364,2019-02-08
2019-02-09,598,2019,23962,2019-02-09
2019-02-10,550,2019,24512,2019-02-10
2019-02-11,656,2019,25168,2019-02-11
2019-02-12,618,2019,25786,2019-02-12
2019-02-13,672,2019,26458,2019-02-13
2019-02-14,546,2019,27004,2019-02-14
2019-02-15,628,2019,27632,2019-02-15
2019-02-16,523,2019,28155,2019-02-16
2019-02-17,488,2019,28643,2019-02-17
2019-02-18,635,2019,29278,2019-02-18
2019-02-19,594,2019,29872,2019-02-19
2019-02-20,617,2019,30489,2019-02-20
2019-02-21,645,2019,31134,2019-02-21
2019-02-22,570,2019,31704,2019-02-22
2019-02-23,554,2019,32258,2019-02-23
2019-02-24,528,2019,32786,2019-02-24
2019-02-25,630,2019,33416,2019-02-25
2019-02-26,681,2019,34097,2019-02-26
2019-02-27,630,2019,34727,2019-02-27
2019-02-28,576,2019,35303,2019-02-28
2019-03-01,617,2019,35920,2019-03-01
2019-03-02,537,2019,36457,2019-03-02
2019-03-03,596,2019,37053,2019-03-03
2019-03-04,656,2019,37709,2019-03-04
2019-03-05,647,2019,38356,2019-03-05
2019-03-06,622,2019,38978,2019-03-06
2019-03-07,664,2019,39642,2019-03-07
2019-03-08,591,2019,40233,2019-03-08
2019-03-09,563,2019,40796,2019-03-09
2019-03-10,453,2019,41249,2019-03-10
2019-03-11,659,2019,41908,2019-03-11
2019-03-12,616,2019,42524,2019-03-12
2019-03-13,573,2019,43097,2019-03-13
2019-03-14,639,2019,43736,2019-03-14
2019-03-15,600,2019,44336,2019-03-15
2019-03-16,564,2019,44900,2019-03-16
2019-03-17,539,2019,45439,2019-03-17
2019-03-18,643,2019,46082,2019-03-18
2019-03-19,636,2019,46718,2019-03-19
2019-03-20,687,2019,47405,2019-03-20
2019-03-21,693,2019,48098,2019-03-21
2019-03-22,671,2019,48769,2019-03-22
2019-03-23,539,2019,49308,2019-03-23
2019-03-24,514,2019,49822,2019-03-24
2019-03-25,671,2019,50493,2019-03-25
2019-03-26,662,2019,51155,2019-03-26
2019-03-27,680,2019,51835,2019-03-27
2019-03-28,634,2019,52469,2019-03-28
2019-03-29,619,2019,53088,2019-03-29
2019-03-30,563,2019,53651,2019-03-30
2019-03-31,622,2019,54273,2019-03-31
2019-04-01,736,2019,55009,2019-04-01
2019-04-02,658,2019,55667,2019-04-02
2019-04-03,606,2019,56273,2019-04-03
2019-04-04,602,2019,56875,2019-04-04
2019-04-05,617,2019,57492,2019-04-05
2019-04-06,525,2019,58017,2019-04-06
2019-04-07,523,2019,58540,2019-04-07
2019-04-08,656,2019,59196,2019-04-08
2019-04-09,651,2019,59847,2019-04-09
2019-04-10,673,2019,60520,2019-04-10
2019-04-11,623,2019,61143,2019-04-11
2019-04-12,641,2019,61784,2019-04-12
2019-04-13,585,2019,62369,2019-04-13
2019-04-14,565,2019,62934,2019-04-14
2019-04-15,638,2019,63572,2019-04-15
2019-04-16,599,2019,64171,2019-04-16
2019-04-17,606,2019,64777,2019-04-17
2019-04-18,614,2019,65391,2019-04-18
2019-04-19,558,2019,65949,2019-04-19
2019-04-20,527,2019,66476,2019-04-20
2019-04-21,438,2019,66914,2019-04-21
2019-04-22,709,2019,67623,2019-04-22
2019-04-23,636,2019,68259,2019-04-23
2019-04-24,666,2019,68925,2019-04-24
2019-04-25,646,2019,69571,2019-04-25
2019-04-26,568,2019,70139,2019-04-26
2019-04-27,509,2019,70648,2019-04-27
2019-04-28,586,2019,71234,2019-04-28
2019-04-29,691,2019,71925,2019-04-29
2019-04-30,633,2019,72558,2019-04-30
2019-05-01,703,2019,73261,2019-05-01
2019-05-02,650,2019,73911,2019-05-02
2019-05-03,604,2019,74515,2019-05-03
2019-05-04,509,2019,75024,2019-05-04
2019-05-05,514,2019,75538,2019-05-05
2019-05-06,718,2019,76256,2019-05-06
2019-05-07,608,2019,76864,2019-05-07
2019-05-08,633,2019,77497,2019-05-08
2019-05-09,650,2019,78147,2019-05-09
2019-05-10,518,2019,78665,2019-05-10
2019-05-11,592,2019,79257,2019-05-11
2019-05-12,497,2019,79754,2019-05-12
2019-05-13,625,2019,80379,2019-05-13
2019-05-14,690,2019,81069,2019-05-14
2019-05-15,645,2019,81714,2019-05-15
2019-05-16,592,2019,82306,2019-05-16
2019-05-17,613,2019,82919,2019-05-17
2019-05-18,511,2019,83430,2019-05-18
2019-05-19,521,2019,83951,2019-05-19
2019-05-20,661,2019,84612,2019-05-20
2019-05-21,637,2019,85249,2019-05-21
2019-05-22,637,2019,85886,2019-05-22
2019-05-23,657,2019,86543,2019-05-23
2019-05-24,609,2019,87152,2019-05-24
2019-05-25,565,2019,87717,2019-05-25
2019-05-26,507,2019,88224,2019-05-26
2019-05-27,517,2019,88741,2019-05-27
2019-05-28,726,2019,89467,2019-05-28
2019-05-29,686,2019,90153,2019-05-29
2019-05-30,629,2019,90782,2019-05-30
2019-05-31,668,2019,91450,2019-05-31
2019-06-01,570,2019,92020,2019-06-01
2019-06-02,520,2019,92540,2019-06-02
2019-06-03,650,2019,93190,2019-06-03
2019-06-04,600,2019,93790,2019-06-04
2019-06-05,625,2019,94415,2019-06-05
2019-06-06,638,2019,95053,2019-06-06
2019-06-07,596,2019,95649,2019-06-07
2019-06-08,578,2019,96227,2019-06-08
2019-06-09,543,2019,96770,2019-06-09
2019-06-10,719,2019,97489,2019-06-10
2019-06-11,619,2019,98108,2019-06-11
2019-06-12,675,2019,98783,2019-06-12
2019-06-13,689,2019,99472,2019-06-13
2019-06-14,633,2019,100105,2019-06-14
2019-06-15,526,2019,100631,2019-06-15
2019-06-16,532,2019,101163,2019-06-16
2019-06-17,705,2019,101868,2019-06-17
2019-06-18,655,2019,102523,2019-06-18
2019-06-19,671,2019,103194,2019-06-19
2019-06-20,653,2019,103847,2019-06-20
2019-06-21,611,2019,104458,2019-06-21
2019-06-22,544,2019,105002,2019-06-22
2019-06-23,563,2019,105565,2019-06-23
2019-06-24,722,2019,106287,2019-06-24
2019-06-25,646,2019,106933,2019-06-25
2019-06-26,647,2019,107580,2019-06-26
2019-06-27,624,2019,108204,2019-06-27
2019-06-28,595,2019,108799,2019-06-28
2019-06-29,587,2019,109386,2019-06-29
2019-06-30,520,2019,109906,2019-06-30
2019-07-01,705,2019,110611,2019-07-01
2019-07-02,612,2019,111223,2019-07-02
2019-07-03,637,2019,111860,2019-07-03
2019-07-04,523,2019,112383,2019-07-04
2019-07-05,658,2019,113041,2019-07-05
2019-07-06,517,2019,113558,2019-07-06
2019-07-07,518,2019,114076,2019-07-07
2019-07-08,670,2019,114746,2019-07-08
2019-07-09,624,2019,115370,2019-07-09
2019-07-10,616,2019,115986,2019-07-10
2019-07-11,673,2019,116659,2019-07-11
2019-07-12,598,2019,117257,2019-07-12
2019-07-13,539,2019,117796,2019-07-13
2019-07-14,608,2019,118404,2019-07-14
2019-07-15,688,2019,119092,2019-07-15
2019-07-16,684,2019,119776,2019-07-16
2019-07-17,653,2019,120429,2019-07-17
2019-07-18,681,2019,121110,2019-07-18
2019-07-19,631,2019,121741,2019-07-19
2019-07-20,568,2019,122309,2019-07-20
2019-07-21,590,2019,122899,2019-07-21
2019-07-22,651,2019,123550,2019-07-22
2019-07-23,644,2019,124194,2019-07-23
2019-07-24,668,2019,124862,2019-07-24
2019-07-25,659,2019,125521,2019-07-25
2019-07-26,682,2019,126203,2019-07-26
2019-07-27,514,2019,126717,2019-07-27
2019-07-28,615,2019,127332,2019-07-28
2019-07-29,674,2019,128006,2019-07-29
2019-07-30,650,2019,128656,2019-07-30
2019-07-31,599,2019,129255,2019-07-31
2019-08-01,693,2019,129948,2019-08-01
2019-08-02,635,2019,130583,2019-08-02
2019-08-03,526,2019,131109,2019-08-03
2019-08-04,585,2019,131694,2019-08-04
2019-08-05,606,2019,132300,2019-08-05
2019-08-06,635,2019,132935,2019-08-06
2019-08-07,646,2019,133581,2019-08-07
2019-08-08,664,2019,134245,2019-08-08
2019-08-09,587,2019,134832,2019-08-09
2019-08-10,533,2019,135365,2019-08-10
2019-08-11,535,2019,135900,2019-08-11
2019-08-12,686,2019,136586,2019-08-12
2019-08-13,643,2019,137229,2019-08-13
2019-08-14,718,2019,137947,2019-08-14
2019-08-15,637,2019,138584,2019-08-15
2019-08-16,599,2019,139183,2019-08-16
2019-08-17,504,2019,139687,2019-08-17
2019-08-18,519,2019,140206,2019-08-18
2019-08-19,688,2019,140894,2019-08-19
2019-08-20,629,2019,141523,2019-08-20
2019-08-21,667,2019,142190,2019-08-21
2019-08-22,657,2019,142847,2019-08-22
2019-08-23,650,2019,143497,2019-08-23
2019-08-24,494,2019,143991,2019-08-24
2019-08-25,559,2019,144550,2019-08-25
2019-08-26,708,2019,145258,2019-08-26
2019-08-27,666,2019,145924,2019-08-27
2019-08-28,666,2019,146590,2019-08-28
2019-08-29,620,2019,147210,2019-08-29
2019-08-30,628,2019,147838,2019-08-30
2019-08-31,511,2019,148349,2019-08-31
2019-09-01,525,2019,148874,2019-09-01
2019-09-02,596,2019,149470,2019-09-02
2019-09-03,689,2019,150159,2019-09-03
2019-09-04,680,2019,150839,2019-09-04
2019-09-05,678,2019,151517,2019-09-05
2019-09-06,570,2019,152087,2019-09-06
2019-09-07,496,2019,152583,2019-09-07
2019-09-08,601,2019,153184,2019-09-08
2019-09-09,660,2019,153844,2019-09-09
2019-09-10,620,2019,154464,2019-09-10
2019-09-11,634,2019,155098,2019-09-11
2019-09-12,635,2019,155733,2019-09-12
2019-09-13,619,2019,156352,2019-09-13
2019-09-14,570,2019,156922,2019-09-14
2019-09-15,534,2019,157456,2019-09-15
2019-09-16,699,2019,158155,2019-09-16
2019-09-17,696,2019,158851,2019-09-17
2019-09-18,581,2019,159432,2019-09-18
2019-09-19,634,2019,160066,2019-09-19
2019-09-20,647,2019,160713,2019-09-20
2019-09-21,528,2019,161241,2019-09-21
2019-09-22,549,2019,161790,2019-09-22
2019-09-23,650,2019,162440,2019-09-23
2019-09-24,633,2019,163073,2019-09-24
2019-09-25,630,2019,163703,2019-09-25
2019-09-26,630,2019,164333,2019-09-26
2019-09-27,663,2019,164996,2019-09-27
2019-09-28,527,2019,165523,2019-09-28
2019-09-29,523,2019,166046,2019-09-29
2019-09-30,627,2019,166673,2019-09-30
2019-10-01,583,2019,167256,2019-10-01
2019-10-02,618,2019,167874,2019-10-02
2019-10-03,618,2019,168492,2019-10-03
2019-10-04,664,2019,169156,2019-10-04
2019-10-05,572,2019,169728,2019-10-05
2019-10-06,518,2019,170246,2019-10-06
